code_muni,tmax_mean,tmin_mean,pr_mean,rh_mean,rs_mean
1100015,24.11193389095751,16.16106369692675,91.31025010159877,58.00723680854281,12.065100670420508
1100023,23.62469661627577,16.5989744202212,85.33498545055318,60.233036057726245,11.570837958175863
1100031,23.995658525541216,15.958690554970447,19.56485240515496,56.82324426579223,11.782243084366884
1100049,24.4002027281783,16.2648011542367,58.077282608032036,58.031510674908425,12.360182312914025
1100056,24.249550813913974,16.23189929387414,48.68925917435163,56.77068337696242,11.89011974798017
1100064,23.694142542359696,16.003718772964298,27.41014406023022,56.99145484886661,11.92733339568329
1100072,23.93937429330998,16.146234119127335,47.07365651169219,56.99299180895711,11.971096711705478
1100080,24.02580130817325,16.401444689296362,73.86702332693746,59.48595350979884,11.807936169827977
1100098,24.09002705555007,16.062537421922727,74.64519239243873,57.69615871189468,12.548421292594183
1100106,23.171302060740935,15.839458008992,290.7049412650614,61.102735315707505,11.844123263589758
1100114,23.742885185466825,16.31593150899094,65.17740866768236,58.98633872727894,11.788398051748114
1100122,24.194066488389538,16.302498841736938,110.53613550750579,58.65502018662948,12.06756260543362
1100130,23.973287063445284,16.72161554735801,148.49789214399743,60.36205511593518,11.540264029615502
1100148,24.12307158070551,16.139023385312356,36.828575128619015,58.23678270897701,12.118915998744187
1100155,23.99630039164298,16.28731503370852,45.388400068681,58.6776415865689,11.940886688391906
1100189,24.152980391950535,16.21452602112727,90.19753076937747,57.6239020903245,12.575867908228487
1100205,23.99743324451743,16.894482432099434,508.7111129693983,62.725402839796644,11.84930365965505
1100254,24.443872677625766,16.386283086254284,35.00069903303169,58.26101910503977,12.156745132118706
1100262,23.66067727318497,16.66208353449761,38.487647947965286,60.492164067805966,11.522847594298693
1100288,24.314160727419203,16.2289985348711,28.663791346968974,58.06415281475067,12.293339223906992
1100296,23.917761434569186,15.920835414123088,25.34109209203096,58.02913285521441,12.255826498552317
1100304,23.559147230336364,15.940465047920533,161.96154232251706,57.428744340411654,12.57472606587438
1100320,23.604595788452826,15.978554232614421,114.68367240013019,58.96145324269091,11.949183259154955
1100338,23.431128312199608,16.28766935902862,143.06678921733175,61.61172212615714,11.736652572105854
1100346,23.998723309889368,16.204046987959057,61.61459598296704,58.80824726095047,12.025205691278357
1100379,24.100783425177767,16.167723380274055,64.66377987682758,57.79919119678578,12.085753104225361
1100403,23.76786170945341,16.79289496018433,63.58152920422517,61.13543880891772,11.520100807263887
